,EU27,BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
Italian,13%,2%,- ,- ,0%,1%,0%,- ,- ,0%,- ,0%,1%,97%,- ,0%,- ,5%,- ,1%,- ,0%,- ,0%,0%,0%,- ,- ,- ,0%
Japonais,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Japanese,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%
Coréen,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Korean,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,0%
Letton,83,0,0,0,0,0,0,0,3,4,0,0,0,0,0,730,3,0,0,0,0,0,2,0,0,0,0,0,1,3
Latvian,0%,- ,- ,- ,- ,- ,- ,- ,0%,0%,- ,- ,- ,- ,- ,71%,0%,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,0%,0%
Lituanien,187,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,944,0,0,0,0,0,0,0,0,0,0,0,0,6
Lithuanian,1%,- ,- ,- ,- ,- ,- ,- ,0%,0%,- ,- ,- ,- ,- ,0%,92%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%
Luxembourgeois,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,1,0,0,0,0,0,0,0,0,0,1
Luxembourgish,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,52%,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%
Maltais,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,2,0,0,0,0,0
Maltese,0%,- ,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,97%,- ,- ,- ,- ,0%,- ,- ,- ,- ,0%
Polonais,2182,2,1,5,3,25,32,4,0,24,3,0,5,0,0,6,29,2,0,0,1,3,946,0,1,0,1,3,3,21
Polish,8%,0%,0%,0%,0%,2%,2%,1%,- ,2%,0%,- ,0%,- ,- ,1%,3%,0%,- ,- ,0%,0%,95%,- ,0%,- ,0%,0%,0%,2%
Portugais,593,7,0,0,0,2,2,0,0,1,0,3,14,0,0,0,0,96,0,0,3,0,1,959,1,0,0,0,0,8
Portuguese,2%,1%,- ,- ,- ,0%,0%,- ,- ,0%,- ,0%,1%,- ,- ,- ,- ,19%,- ,- ,0%,- ,0%,95%,0%,- ,- ,- ,- ,1%
Roumain,1230,2,1,0,0,6,7,0,3,2,5,27,3,3,10,0,0,1,3,0,0,1,0,5,944,0,0,0,0,4
Romanian,5%,0%,0%,- ,- ,1%,0%,- ,0%,0%,0%,3%,0%,0%,2%,- ,- ,0%,0%,- ,- ,0%,- ,0%,93%,- ,- ,- ,- ,0%
Russe,301,4,2,2,0,52,66,8,190,1,8,1,1,1,4,280,52,2,2,0,0,5,20,1,1,0,0,5,0,3
Russian,1%,0%,0%,0%,- ,5%,4%,2%,19%,0%,1%,0%,0%,0%,1%,27%,5%,0%,0%,- ,- ,0%,2%,0%,0%,- ,- ,0%,- ,0%
Gaélique écossais,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3
Scottish Gaelic,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,0%,0%,- ,- ,0%
Slovaque,278,1,0,12,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,5,1,1,0,2,883,0,0,0
Slovak,1%,0%,- ,1%,0%,- ,- ,- ,- ,0%,- ,0%,- ,- ,- ,- ,- ,- ,- ,0%,- ,0%,0%,0%,- ,0%,88%,- ,- ,- 
Slovène,125,0,0,0,0,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,946,3,1,0,0
Slovenian,0%,- ,- ,- ,- ,0%,0%,- ,- ,0%,- ,0%,- ,0%,- ,- ,- ,- ,- ,- ,- ,0%,0%,- ,- ,93%,0%,0%,- ,- 
Espagnol,2155,4,0,0,2,2,2,0,0,2,0,819,9,2,0,1,0,4,0,0,4,2,0,1,0,1,0,2,11,6
Spanish,8%,0%,- ,- ,0%,0%,0%,- ,- ,0%,- ,82%,1%,0%,- ,0%,- ,1%,- ,- ,0%,0%,- ,0%,- ,0%,- ,0%,1%,0%
Suédois,493,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,37,945,1
Swedish,2%,- ,- ,- ,0%,- ,- ,- ,- ,- ,0%,0%,- ,- ,- ,- ,- ,1%,- ,- ,0%,- ,- ,- ,- ,- ,- ,4%,93%,0%
Turque,156,20,38,0,2,29,36,2,1,0,1,0,4,0,0,0,0,0,0,0,5,16,0,0,1,0,0,1,0,1
Turkish,1%,2%,4%,- ,0%,3%,2%,0%,0%,- ,0%,- ,0%,- ,- ,- ,- ,- ,- ,- ,0%,2%,- ,- ,0%,- ,- ,0%,- ,0%
Urdu,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Urdu,0%,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1%
Gallois,20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
Welsh,0%,- ,- ,- ,- ,- ,- ,- ,0%,0%,- ,- ,- ,- ,- ,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1%
Autre,460,16,10,1,11,26,35,5,5,2,6,17,28,6,4,11,4,8,3,0,24,7,9,5,4,30,12,0,18,51
Other (SPONTANEOUS),2%,2%,1%,0%,1%,3%,2%,1%,1%,0%,1%,2%,3%,1%,1%,1%,0%,2%,0%,- ,2%,1%,1%,1%,0%,3%,1%,0%,2%,4%
